City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Esperance,AU,62.44,overcast clouds,-33.8667,121.9,Esperance
1,Brae,GB,49.44,scattered clouds,60.3964,-1.353,Brae
2,Punta Arenas,CL,42.91,clear sky,-53.15,-70.9167,Punta Arenas
3,Carlagan,PH,80.73,overcast clouds,14.975,122.0456,Burdeos
4,Butaritari,KI,79.83,broken clouds,3.0707,172.7902,Ukiangang
5,Bredasdorp,ZA,72.01,overcast clouds,-34.5322,20.0403,Bredasdorp
6,Bambous Virieux,MU,82.65,few clouds,-20.3428,57.7575,Vieux Grand Port
7,Almaznyy,RU,34.07,overcast clouds,48.0448,40.045,Gukovo
8,Sitka,US,33.69,few clouds,57.0531,-135.33,Sitka
9,Maniitsoq,GL,25.9,few clouds,65.4167,-52.9,Maniitsoq
10,Qaanaaq,GL,2.97,overcast clouds,77.484,-69.3632,Qaanaaq
11,Los Llanos De Aridane,ES,67.75,scattered clouds,28.6585,-17.9182,Los Llanos
12,Atuona,PF,78.75,few clouds,-9.8,-139.0333,Atuona
13,Palembang,ID,77.09,few clouds,-2.9167,104.7458,Palembang
14,Ponta Do Sol,PT,66.83,scattered clouds,32.6667,-17.1,Ribeira Brava
15,Pangnirtung,CA,25.81,overcast clouds,66.1451,-65.7125,Pangnirtung
16,Mataura,NZ,47.46,few clouds,-46.1927,168.8643,Gore
17,Albany,US,38.03,overcast clouds,42.6001,-73.9662,Voorheesville
18,Fortuna,US,46.65,clear sky,40.5982,-124.1573,Fortuna
19,Narsaq,GL,41.22,light rain,60.9167,-46.05,Narsaq
20,Mehamn,NO,20.43,light snow,71.0357,27.8492,Mehamn
21,Mao,ES,61.36,scattered clouds,39.8885,4.2658,Mahón
22,Ushuaia,AR,46.06,scattered clouds,-54.8,-68.3,Ushuaia
23,Bodden Town,KY,80.01,broken clouds,19.2833,-81.25,Bodden Town
24,Ariquemes,BR,80.51,overcast clouds,-9.9133,-63.0408,Ariquemes
25,Maldonado,UY,69.19,clear sky,-34.6667,-54.9167,Chacra Gaia
26,San Patricio,US,69.89,overcast clouds,28.017,-97.5169,Sinton
27,Faanui,PF,80.76,light rain,-16.4833,-151.75,Vaitape
28,Rikitea,PF,78.69,clear sky,-23.1203,-134.9692,Rikitea
29,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Recife
30,Hermanus,ZA,84.79,overcast clouds,-34.4187,19.2345,Hermanus
31,Kiama,AU,66.58,light rain,-34.6833,150.8667,Kiama
32,Port Blair,IN,82.44,mist,11.6667,92.75,Port Blair
33,Busselton,AU,60.4,clear sky,-33.65,115.3333,Busselton
34,Lensk,RU,19.92,overcast clouds,60.7253,114.9278,Lensk
35,Hilo,US,67.73,overcast clouds,19.7297,-155.09,Hilo
36,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Mar del Plata
37,Tasiilaq,GL,35.76,overcast clouds,65.6145,-37.6368,Tasiilaq
38,Cairns,AU,75.15,broken clouds,-16.9167,145.7667,Cairns
39,East London,ZA,74.34,few clouds,-33.0153,27.9116,East London
40,Jinxiang,CN,53.69,overcast clouds,27.4327,120.6062,Wenzhou
41,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,Port Hedland
42,Sao Filipe,CV,70.72,broken clouds,14.8961,-24.4956,Sao Filipe
43,Lagos,NG,93.52,broken clouds,6.5833,3.75,Lekki
44,Moroni,KM,82.4,light rain,-11.7022,43.2551,Moroni
45,Sur,OM,82.06,clear sky,22.5667,59.5289,Sur
46,Tselinnoye,RU,25.81,overcast clouds,53.0833,85.6667,Tselinnoe
47,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Santa Cruz de la Sierra
48,Kodiak,US,33.31,light snow,57.79,-152.4072,Kodiak
49,Nikolskoye,RU,32.88,broken clouds,59.7035,30.7861,Saint Petersburg
50,Rieti,IT,69.75,clear sky,42.4072,12.8592,Rieti
51,Novobiryusinskiy,RU,13.03,scattered clouds,56.9578,97.7076,Novobiriusinskii
52,Abilene,US,72.18,clear sky,32.4487,-99.7331,Abilene
53,Carrollton,US,68.22,clear sky,32.9537,-96.8903,Carrollton
54,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Avarua District
55,Cape Town,ZA,82.81,clear sky,-33.9258,18.4232,Cape Town
56,Andros Town,BS,75.16,clear sky,24.7,-77.7667,Andros Town
57,Aurora,US,60.93,broken clouds,39.7294,-104.8319,Aurora
58,Cabo San Lucas,MX,72.52,scattered clouds,22.8909,-109.9124,Cabo San Lucas
59,Mitsamiouli,KM,82.69,light rain,-11.3847,43.2844,Mitsamiouli
60,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,Gqeberha
61,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Nukuhetulu
62,Nanortalik,GL,29.97,light snow,60.1432,-45.2371,Nanortalik
63,Lundazi,ZM,73.81,light rain,-12.2929,33.1782,Lundazi
64,Arboletes,CO,80.98,overcast clouds,8.8505,-76.4269,Arboletes
65,Kapaa,US,66.52,light rain,22.0752,-159.319,Kapaʻa
66,Harper,LR,83.75,overcast clouds,4.375,-7.7169,Harper
67,Georgetown,MY,85.95,few clouds,5.4112,100.3354,George Town
68,Sanchor,IN,84.67,clear sky,24.7553,71.7722,Sanchore
69,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Boa Vista
70,Asau,RO,52.72,overcast clouds,46.4333,26.4,Comănești
71,Chapais,CA,4.78,light snow,49.7834,-74.8492,Chapais
72,Quatre Cocos,MU,82.51,scattered clouds,-20.2078,57.7625,Central Flacq
73,Sao Jose Da Coroa Grande,BR,82.98,broken clouds,-8.8978,-35.1478,São José da Coroa Grande
74,Upernavik,GL,25.5,overcast clouds,72.7868,-56.1549,Upernavik
75,Iracoubo,GF,80.96,overcast clouds,5.4802,-53.2011,Iracoubo
76,Ust-Barguzin,RU,10.53,scattered clouds,53.45,108.9833,Ust-Barguzin
77,Ahipara,NZ,59.65,clear sky,-35.1667,173.1667,Ahipara
78,Severo-Kurilsk,RU,34.83,overcast clouds,50.6789,156.125,Severo-Kurilsk
79,Mandurah,AU,65.91,clear sky,-32.55,115.7,Mandurah
80,Ballina,AU,69.78,scattered clouds,-28.8667,153.5667,Ballina
81,Bengkulu,ID,77.83,scattered clouds,-3.8004,102.2655,Bengkulu
82,Lanivtsi,UA,41.59,broken clouds,49.8633,26.0908,Lanivtsi
83,Port Alfred,ZA,74.17,broken clouds,-33.5906,26.891,Port Alfred
84,Laguna,US,57.18,clear sky,38.421,-121.4238,Sacramento
85,Bluff,NZ,52.84,few clouds,-46.6,168.3333,Bluff
86,Bolitoc,PH,80.89,broken clouds,15.7395,119.8769,Santa Cruz
87,Hobart,AU,62.46,overcast clouds,-42.8794,147.3294,Hobart
88,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Alofi
89,Coihaique,CL,49.95,light rain,-45.5752,-72.0662,Coyhaique
90,Guerrero Negro,MX,60.37,overcast clouds,27.9769,-114.0611,Guerrero Negro
91,Westport,US,46.74,clear sky,41.1415,-73.3579,Norwalk
92,Kaitangata,NZ,49.98,scattered clouds,-46.2817,169.8464,Kaitangata
93,Baghmara,IN,84.79,broken clouds,23.795,86.2085,Dumra
94,Dingle,PH,77.77,overcast clouds,10.9995,122.6711,Pototan
95,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Cabo Frio
96,Freeport,US,46.29,few clouds,40.6576,-73.5832,Freeport
97,Hithadhoo,MV,83.1,clear sky,-0.6,73.0833,Addu City
98,Fort Nelson,CA,17.19,broken clouds,58.8053,-122.7002,Fort Nelson
99,Sabha,LY,82.2,clear sky,27.0377,14.4283,Sabhā
100,Macau,MO,69.6,scattered clouds,22.2006,113.5461,Macau
101,Shingu,JP,51.87,broken clouds,33.7333,135.9833,Shingu
102,Wiang Sa,TH,79.74,broken clouds,8.6359,99.3666,Wiang Sa
103,Ribeira Grande,PT,66.6,few clouds,38.5167,-28.7,Horta
104,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Saint George's
105,Jamestown,US,24.39,overcast clouds,42.097,-79.2353,Jamestown
106,Nizhniy Baskunchak,RU,40.35,overcast clouds,48.2198,46.8311,Nizhnii Baskunchak
107,Aracati,BR,86.04,overcast clouds,-4.5617,-37.7697,Aracati
108,Portland,US,52.25,broken clouds,45.5234,-122.6762,Portland
109,Kemin,KG,36.41,overcast clouds,42.7846,75.6892,Kemin
110,Mahebourg,MU,82.69,few clouds,-20.4081,57.7,Mahebourg
111,Aguie,NE,97.21,broken clouds,13.506,7.7786,Aguié
112,Kruisfontein,ZA,76.89,overcast clouds,-34.0033,24.7314,Humansdorp
113,Mount Gambier,AU,58.91,scattered clouds,-37.8333,140.7667,Mount Gambier
114,Stabat,ID,75.96,clear sky,3.761,98.4513,Stabat
