City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Fortuna,US,40.5982,-124.1573,60.93,71,0,14.97,clear sky,2022-03-24 00:52:35
1,Lourical,PT,40.0039,-8.7374,55.69,72,57,8.86,broken clouds,2022-03-24 00:52:35
2,Ancud,CL,-41.8697,-73.8203,48.76,74,9,5.53,clear sky,2022-03-24 00:52:35
3,Geraldton,AU,-28.7667,114.6,82.81,26,9,27.63,clear sky,2022-03-24 00:52:36
4,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,54,10.8,broken clouds,2022-03-24 00:52:36
5,La Huacana,MX,18.9667,-101.8167,79.29,26,0,5.32,clear sky,2022-03-24 00:52:36
6,Calabozo,VE,8.9242,-67.4293,85.71,34,98,10.6,overcast clouds,2022-03-24 00:52:37
7,Kristianstad,SE,56.0313,14.1524,32.14,86,4,3.44,clear sky,2022-03-24 00:52:37
8,Cordoba,AR,-31.4135,-64.1811,68.85,77,40,15.99,scattered clouds,2022-03-24 00:50:56
9,Hithadhoo,MV,-0.6,73.0833,83.41,66,0,18.16,clear sky,2022-03-24 00:52:37
10,Skelleftea,SE,64.7507,20.9528,44.96,59,100,10.36,overcast clouds,2022-03-24 00:52:38
11,Srandakan,ID,-7.9386,110.2506,79.92,82,100,3.04,overcast clouds,2022-03-24 00:52:38
12,Rikitea,PF,-23.1203,-134.9692,79.83,69,100,9.55,overcast clouds,2022-03-24 00:52:38
13,Punta Arenas,CL,-53.15,-70.9167,46.51,57,0,13.8,clear sky,2022-03-24 00:52:39
14,Matamoros,MX,25.5333,-103.25,61.92,19,0,8.97,clear sky,2022-03-24 00:50:59
15,Mataura,NZ,-46.1927,168.8643,62.67,51,5,10.78,clear sky,2022-03-24 00:52:39
16,Acarau,BR,-2.8856,-40.12,77.47,86,100,6.35,overcast clouds,2022-03-24 00:52:39
17,Kizukuri,JP,40.8061,140.3861,43.21,75,27,3.62,scattered clouds,2022-03-24 00:52:40
18,Vaini,TO,-21.2,-175.2,80.76,89,100,12.66,moderate rain,2022-03-24 00:52:40
19,Airai,TL,-8.9266,125.4092,68.14,76,98,1.7,overcast clouds,2022-03-24 00:52:40
20,Cape Town,ZA,-33.9258,18.4232,69.12,89,40,19.57,scattered clouds,2022-03-24 00:49:46
21,Whitecourt,CA,54.1502,-115.6855,45.64,57,75,18.41,broken clouds,2022-03-24 00:50:56
22,Avarua,CK,-21.2078,-159.775,84.25,74,20,12.66,few clouds,2022-03-24 00:52:41
23,Katsuura,JP,35.1333,140.3,50.63,76,51,10.98,broken clouds,2022-03-24 00:52:41
24,Kapaa,US,22.0752,-159.319,80.58,76,75,20.71,light rain,2022-03-24 00:52:42
25,Georgetown,MY,5.4112,100.3354,82.33,92,20,1.14,few clouds,2022-03-24 00:49:52
26,Kodiak,US,57.79,-152.4072,35.11,55,20,12.66,few clouds,2022-03-24 00:52:42
27,Lalmohan,BD,22.3384,90.7419,79.66,81,9,10.98,clear sky,2022-03-24 00:52:42
28,Chokurdakh,RU,70.6333,147.9167,0.75,92,99,1.9,overcast clouds,2022-03-24 00:52:43
29,Yulara,AU,-25.2406,130.9889,78.64,44,40,17.27,scattered clouds,2022-03-24 00:52:43
30,Constitucion,CL,-35.3333,-72.4167,52.88,70,0,11.45,clear sky,2022-03-24 00:48:46
31,Hobart,AU,-42.8794,147.3294,66.06,55,75,18.41,broken clouds,2022-03-24 00:52:43
32,Busselton,AU,-33.65,115.3333,65.16,56,0,13.49,clear sky,2022-03-24 00:52:44
33,Jamestown,US,42.097,-79.2353,49.59,63,100,20.0,overcast clouds,2022-03-24 00:52:44
34,New Norfolk,AU,-42.7826,147.0587,65.7,53,97,4.0,overcast clouds,2022-03-24 00:52:44
35,Khatanga,RU,71.9667,102.5,4.84,96,100,5.08,overcast clouds,2022-03-24 00:52:45
36,Maniwaki,CA,46.3834,-75.966,39.58,41,100,10.36,overcast clouds,2022-03-24 00:52:45
37,Vestmannaeyjar,IS,63.4427,-20.2734,45.52,98,100,22.73,light rain,2022-03-24 00:52:45
38,Hermanus,ZA,-34.4187,19.2345,67.8,90,76,8.55,broken clouds,2022-03-24 00:52:46
39,Port Elizabeth,ZA,-33.918,25.5701,68.29,87,0,21.99,clear sky,2022-03-24 00:52:46
40,Chuy,UY,-33.6971,-53.4616,71.31,88,100,10.54,light rain,2022-03-24 00:52:46
41,Nikolskoye,RU,59.7035,30.7861,30.79,97,17,3.65,few clouds,2022-03-24 00:52:47
42,Hilo,US,19.7297,-155.09,74.93,92,100,8.05,light rain,2022-03-24 00:52:40
43,Ouesso,CG,1.6136,16.0517,73.27,66,54,1.19,broken clouds,2022-03-24 00:52:47
44,Ushuaia,AR,-54.8,-68.3,47.86,43,75,17.27,broken clouds,2022-03-24 00:52:47
45,Iquitos,PE,-3.7481,-73.2472,78.84,94,75,0.0,broken clouds,2022-03-24 00:52:48
46,La Ronge,CA,55.1001,-105.2842,52.05,32,40,16.11,scattered clouds,2022-03-24 00:52:48
47,Mount Gambier,AU,-37.8333,140.7667,58.91,58,100,3.44,overcast clouds,2022-03-24 00:52:48
48,Puerto Ayora,EC,-0.7393,-90.3518,78.39,81,24,7.67,few clouds,2022-03-24 00:52:49
49,Nemuro,JP,43.3236,145.575,34.0,80,100,4.88,overcast clouds,2022-03-24 00:52:49
50,Santa Rosa,PH,14.3122,121.1114,88.09,68,96,10.92,overcast clouds,2022-03-24 00:49:52
51,College,US,64.8569,-147.8028,21.29,44,40,14.97,scattered clouds,2022-03-24 00:52:49
52,Lebu,CL,-37.6167,-73.65,54.63,65,3,14.61,clear sky,2022-03-24 00:52:50
53,Adrar,MR,20.5022,-10.0711,69.49,24,0,11.92,clear sky,2022-03-24 00:52:50
54,Yellowknife,CA,62.456,-114.3525,12.42,78,75,13.8,broken clouds,2022-03-24 00:52:50
55,Seymchan,RU,62.8833,152.4333,8.65,76,100,2.73,overcast clouds,2022-03-24 00:52:51
56,Esperance,AU,-33.8667,121.9,64.24,60,66,4.9,broken clouds,2022-03-24 00:52:51
57,Bubaque,GW,11.2833,-15.8333,74.48,74,17,12.68,few clouds,2022-03-24 00:52:51
58,Cabo San Lucas,MX,22.8909,-109.9124,79.9,51,0,7.36,clear sky,2022-03-24 00:50:14
59,Provideniya,RU,64.3833,-173.3,17.71,67,0,2.24,clear sky,2022-03-24 00:52:52
60,Ribeira Grande,PT,38.5167,-28.7,59.86,76,89,11.05,overcast clouds,2022-03-24 00:52:52
61,Archena,ES,38.1163,-1.3004,56.98,89,100,10.31,overcast clouds,2022-03-24 00:52:52
62,Hobyo,SO,5.3505,48.5268,79.65,78,13,9.78,few clouds,2022-03-24 00:52:52
63,Norman Wells,CA,65.282,-126.8329,6.84,61,20,17.27,few clouds,2022-03-24 00:52:53
64,Mahebourg,MU,-20.4081,57.7,80.26,83,40,8.05,scattered clouds,2022-03-24 00:52:53
